#,Name,Team,Time_nice,Time_secs,Gap,HR,Watts,W/Kg,Points,Orange,KOM,Int. S,DS/DC,Report,MAR,Par.,Total
1,T. Lopez,AZT,17:47,2507.3,0,159,374,3.4,70.0,4.0,,,,,,,74.0
2,N. Foley,AZT,17:47,2507.6,0,165,261,3.3,59.5,18.0,,,,,,,77.5
3,G. Humphreys,Tesla,17:47,2507.7,0,166,264,3.1,49.0,17.0,,,,,,,66.0
4,G. Dix,ABS,17:48,2508.0,1,162,296,3.3,42.0,15.0,,,,,,,57.0
5,T. Mogford,Lego,17:48,2508.6,1,165,231,3.1,35.0,9.0,,,,,,,44.0
6,C. Graley ,ABS,17:49,2509.1,2,158,265,3.5,31.5,13.0,,,,,,,44.5
7,S. Kapila,Tesla,17:49,2509.2,2,0,219,3.4,29.8,10.0,,,,,,,39.8
8,E. Wetbeak,Lego,17:50,2510.3,3,150,291,3.9,28.0,14.0,,,,,,,42.0
10,C. Monk,Lego,17:59,2519.2,12,0,254,3.4,24.5,20.0,,,,,,,44.5
11,D. Thompson,ABS,18:01,2521.4,14,0,237,3.1,22.8,12.0,,,,,,,34.8
12,J. Whitecross,Tesla,18:06,2526.0,19,0,246,3.2,21.0,5.0,,,,,,,26.0
13,J. Warman ,ABS,18:06,2526.1,19,177,256,3.2,20.3,16.0,,,,,,,36.3
14,L. Lagnado,Tesla,18:30,2550.2,43,146,260,2.6,19.6,6.0,,,,,,,25.6
15,R.Tyler,AZT,18:42,2562.3,55,149,275,2.8,18.9,5.0,,,,,,,23.9
16,D. Singh,AZT,18:42,2562.3,55,164,227,3.0,18.2,4.0,,,,,,,22.2
17,H. Courtier,ABS,18:57,2577.7,70,161,267,3.2,17.5,8.0,,,,,,,25.5
18,E. Smith,Tesla,19:01,2581.7,74,142,287,3.1,16.8,3.0,,,,,,,19.8
19,N. Sharpe,Lego,19:02,2582.1,75,109,253,3.5,16.1,11.0,,,,,,,27.1
20,R. France,AZT,19:02,2582.5,75,170,265,3.2,15.4,7.0,,,,,,,22.4
24,L. Felton,Lego,21:40,2740.7,233,164,153,2.7,12.6,4.0,,,,,,,16.6
25,B. Wilson,AZT,21:40,2740.8,234,0,122,3.4,11.2,3.0,,,,,,,14.2
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,0.0
